date,total_deaths,deaths_day,cases
2020-02-15,0,0,2
2020-02-16,0,0,2
2020-02-17,0,0,2
2020-02-18,0,0,2
2020-02-19,0,0,2
2020-02-20,0,0,2
2020-02-21,0,0,2
2020-02-22,0,0,2
2020-02-23,0,0,2
2020-02-24,0,0,3
2020-02-25,0,0,9
2020-02-26,0,0,13
2020-02-27,0,0,25
2020-02-28,0,0,33
2020-02-29,0,0,58
2020-03-01,0,0,84
2020-03-02,0,0,120
2020-03-03,1,1,165
2020-03-04,2,1,228
2020-03-05,3,1,282
2020-03-06,8,5,401
2020-03-07,10,2,525
2020-03-08,17,7,674
2020-03-09,30,13,1231
2020-03-10,36,6,1695
2020-03-11,55,19,2277
2020-03-12,86,31,3146
2020-03-13,133,47,5232
2020-03-14,196,63,6391
2020-03-15,294,98,7988
2020-03-16,342,48,9942
2020-03-17,533,191,11826
2020-03-18,638,105,14769
2020-03-19,831,193,18077
2020-03-20,1093,262,21571
2020-03-21,1381,288,25496
2020-03-22,1772,391,28768
2020-03-23,2311,539,35136
2020-03-24,2991,680,42058
2020-03-25,3647,656,49515
2020-03-26,4365,718,57786
2020-03-27,5138,773,65719
2020-03-28,5982,844,73235
2020-03-29,6803,821,80110
2020-03-30,7716,913,87956
2020-03-31,8464,748,95923
2020-04-01,9387,923,104118
2020-04-02,10348,961,112065
2020-04-03,11198,850,119199
2020-04-04,11947,749,126168
2020-04-05,12641,694,131646
2020-04-06,13341,700,136675
2020-04-07,14045,704,141942
2020-04-08,14792,747,148220
2020-04-09,15447,655,153222
2020-04-10,16081,634,158273
2020-04-11,16606,525,163027
2020-04-12,17209,603,166831
2020-04-13,17756,547,170099
2020-04-14,18255,499,174060
2020-04-15,18812,557,180659
2020-04-16,19130,318,184948
2020-04-17,19478,348,190839
2020-04-18,20043,565,194416
2020-04-19,20453,410,198674
2020-04-20,20852,399,200210
2020-04-21,21282,430,204178
2020-04-22,21717,435,208389
2020-04-23,22157,440,213024
2020-04-24,22524,367,219764
2020-04-25,22902,378,223759
2020-04-26,23190,288,226629
2020-04-27,23521,331,229422
2020-04-28,23822,301,232128
2020-04-29,24275,453,236899
2020-04-30,24543,268,239340
2020-05-01,24824,281,242979
2020-05-02,25100,276,245589
2020-05-03,25264,164,247122
2020-05-04,25428,164,248301
2020-05-05,25613,185,250561
2020-05-06,25857,244,253682
2020-05-07,26070,213,256855
2020-05-08,26299,229,260117
2020-05-09,26478,179,262783
2020-05-10,26621,143,264663
2020-05-11,26744,123,268143
2020-05-12,26920,176,269520
2020-05-13,27104,184,271095
2020-05-14,27321,217,272646
2020-05-15,27459,138,274367
2020-05-16,27563,104,276505
2020-05-17,27650,87,277719
2020-05-18,27709,59,278188
2020-05-19,27778,69,278803
2020-05-20,27888,110,279524
2020-05-21,27940,52,280117
2020-05-22,28628,688,281904
2020-05-23,28678,50,282370
2020-05-24,28752,74,282852
2020-05-25,26837,282480,0
2020-05-26,27117,280,283339
2020-05-27,27118,1,283849
2020-05-28,27119,1,284986
2020-05-29,27121,2,285644
2020-05-30,27125,4,286308
2020-05-31,27127,2,286509
2020-06-01,27127,0,286718
2020-06-02,27127,0,287012
2020-06-03,27128,1,287406
2020-06-04,27133,5,287740
2020-06-05,27134,1,288058
2020-06-06,27135,1,288390
2020-06-07,27136,1,288630
2020-06-08,27136,0,288797
2020-06-09,27136,0,289046
2020-06-10,27136,0,289360
2020-06-11,27136,0,289787
2020-06-12,27136,0,290289
2020-06-13,27136,0,290685
2020-06-14,27136,0,291008
2020-06-15,27136,0,291189
2020-06-16,27136,0,291408
2020-06-17,27136,0,291763
2020-06-18,27136,0,292348
2020-06-19,28315,0,292655
2020-06-20,28322,7,293018
2020-06-21,28323,1,293352
2020-06-22,28324,1,293584
2020-06-23,28325,1,293832
2020-06-24,28327,2,294166
2020-06-25,28330,3,294566
2020-06-26,28338,8,294985
2020-06-27,28341,3,295549
2020-06-28,28343,2,295850
2020-06-29,28346,3,296050
2020-06-30,28355,9,296351
2020-07-01,28363,8,296739
2020-07-02,28368,5,297183
2020-07-03,28385,17,297625
2020-07-04,28385,0,297625
2020-07-05,28385,0,297625
2020-07-06,28388,3,298869
2020-07-07,28392,4,299210
2020-07-08,28396,4,299593
2020-07-09,28401,5,300136
2020-07-10,28403,2,300988
2020-07-11,28404,1,300988
2020-07-12,28405,1,300988
2020-07-13,28406,1,303033
2020-07-14,28409,3,303699
2020-07-15,28413,4,304574
2020-07-16,28416,3,35935
2020-07-17,28420,4,307335
2020-07-18,28420,0,307335
2020-07-19,28420,0,307335
2020-07-20,28422,2,311916
2020-07-21,28424,2,313274
2020-07-22,28426,2,314631
2020-07-23,28429,3,317246
2020-07-24,28432,3,319501
2020-07-25,28433,1,321622
2020-07-26,28434,1,323742
2020-07-27,28434,0,325862
2020-07-28,28436,2,327690
2020-07-29,28441,5,329721
2020-07-30,28443,2,332510
2020-07-31,28445,2,335602
2020-08-01,28445,0,335602
2020-08-02,28445,0,335602
2020-08-03,28472,9,344134
2020-08-04,28498,26,349894
2020-08-05,28499,1,352847
2020-08-06,28500,1,354530
2020-08-07,28503,3,361442
2020-08-08,28503,0,364314
2020-08-09,28503,0,367187
2020-08-10,28576,73,370060
2020-08-11,28579,3,373692
2020-08-12,28579,0,376864
2020-08-13,28605,26,379799
2020-08-14,28617,12,358843
2020-08-15,28617,0,358843
2020-08-16,28617,0,358843
2020-08-17,28617,0,358843
2020-08-18,28670,24,384270
2020-08-19,28797,127,387985
2020-08-20,28813,16,387985
2020-08-21,28838,25,407879
2020-08-22,28849,11,414779
2020-08-23,28860,11,418729
2020-08-24,28872,12,420809
2020-08-25,28924,52,423224
2020-08-26,28971,47,426818
2020-08-27,28996,25,451792
2020-08-28,29011,15,455621
2020-08-29,29038,27,457995
2020-08-30,29066,28,460369
2020-08-31,29094,28,462858
2020-09-01,29152,58,470973
2020-09-02,29194,42,479554
2020-09-03,29234,40,488513
2020-09-04,29418,184,517133
2020-09-05,29451,33,520121
2020-09-06,29484,33,523109
2020-09-07,29516,32,525549
2020-09-08,29594,78,534513
2020-09-09,29628,34,543379
2020-09-10,29699,71,554143
2020-09-11,29747,48,576697
2020-09-12,29782,35,583702
2020-09-13,29815,33,590707
2020-09-14,29848,33,593730
2020-09-15,30004,156,603167
2020-09-16,30243,239,614360
2020-09-17,30405,162,625651
2020-09-18,30495,90,659334
2020-09-19,30551,56,663923
2020-09-20,30607,56,668511
2020-09-21,30663,56,671468
2020-09-22,30904,241,682267
2020-09-23,31034,130,693556
2020-09-24,31118,84,704209
2020-09-25,31232,114,735198
2020-09-26,31292,60,740520
2020-09-27,31352,60,745841
2020-09-28,31411,59,748266
2020-09-29,31614,203,758172
2020-09-30,31791,177,769188
2020-10-01,31973,182,778607
2020-10-02,32086,113,810807
2020-10-03,32132,46,844005
2020-10-04,32179,47,850739
2020-10-05,32225,46,852838
2020-10-06,32486,261,865631
2020-10-07,32562,76,872276
2020-10-08,32688,126,884381
2020-10-09,32929,241,890367
2020-10-10,32994,65,899652
2020-10-11,33059,65,908937
2020-10-12,33124,65,918223
2020-10-13,33204,80,925341
2020-10-14,33413,209,937311
2020-10-15,33553,140,972958
2020-10-16,33775,222,982723
2020-10-17,33847,72,993665
2020-10-18,33919,72,1003581
2020-10-19,33992,73,1015795
2020-10-20,34210,218,1029668
2020-10-21,34366,156,1046641
2020-10-22,34521,155,1090521
2020-10-23,34752,231,1110372
2020-10-24,34845,93,1125444
2020-10-25,34938,93,1139102
2020-10-26,35031,93,1156498
2020-10-27,35298,267,1174916
2020-10-28,35466,168,1194681
2020-10-29,35639,173,1238922
2020-10-30,35878,239,1264595
2020-10-31,36004,126,1280407
2020-11-01,36130,126,1294747
2020-11-02,36257,127,1313087
2020-11-03,36495,238,1331756
2020-11-04,38118,1623,1356798
2020-11-05,38486,368,1365895
2020-11-06,38833,347,1388411
2020-11-07,39004,171,1393922
2020-11-08,39175,171,1408262
2020-11-09,39345,170,1426602
2020-11-10,39756,411,1443997
2020-11-11,40105,349,1463093
2020-11-12,40461,356,1484868
2020-11-13,40769,308,1492608
2020-11-14,40930,161,1499765
2020-11-15,41091,161,1509141
2020-11-16,41253,162,1521899
2020-11-17,41688,435,1535058
2020-11-18,42039,351,1542467
2020-11-19,42291,252,1574063
2020-11-20,42619,328,1589219
2020-11-21,42790,171,1591202
2020-11-22,42961,171,1598306
2020-11-23,43131,170,1606905
2020-11-24,43668,537,1614126
2020-11-25,44037,369,1622632
2020-11-26,44374,337,1637844
2020-11-27,44668,294,1646192
2020-11-28,44802,134,1652322
2020-11-29,44936,134,1658286
2020-11-30,45069,133,1664945
2020-12-01,45511,442,1673202
2020-12-02,45784,273,1682533
2020-12-03,46038,254,1693591
2020-12-04,46252,214,1699145
2020-12-05,46383,131,1704928
2020-12-06,46514,131,1709445
2020-12-07,46646,132,1715700
20-20-12-08,46833,187,1720587
2020-12-09,47019,186,1725473
2020-12-10,47344,325,1734386
2020-12-11,47624,280,1741439
2020-12-12,47754,130,1748609
2020-12-13,47884,130,1754069
2020-12-14,48013,129,1762036
2020-12-15,48401,388,1771488
2020-12-16,48596,195,1782566
2020-12-17,48777,181,1805633
2020-12-18,48926,149,1810318
2020-12-19,49037,111,1817053
2020-12-20,49148,111,1822607
2020-12-21,49260,112,1830110
2020-12-22,49520,520,1838654
2020-12-23,49968,178,1847874
2020-12-24,49824,126,1869610
2020-12-25,49897,73,1873788
2020-12-26,49971,74,1880602
2020-12-27,50046,75,1885938
2020-12-28,50122,76,1894072
2020-12-29,50442,320,1906057
2020-12-30,50689,247,1921115
2020-12-31,50837,148,1931647
2021-01-01,50897,60,1936292
2021-01-02,50957,60,1943867
2021-01-03,51017,60,1949801
2021-01-04,51078,61,1958844
2021-01-05,51430,120,1982544
2021-01-06,51552,122,2008054
2021-01-07,51675,123,2024904
2021-01-08,51874,199,2050360
2021-01-09,52008,134,2070993
2021-01-10,52142,134,2087151
2021-01-11,52275,133,2111782
2021-01-12,52683,408,2137220
2021-01-13,52878,195,2176089
2021-01-14,53079,201,2211967
2021-01-15,53314,235,2252164
2021-01-16,53466,152,2280479
2021-01-17,53618,152,2302651
2021-01-18,53769,151,2336451
2021-01-19,54173,404,2370742
2021-01-20,54637,464,2412318
2021-01-21,55041,404,2560587
2021-01-22,55441,400,2603472
2021-01-23,55695,254,2633185
2021-01-24,55951,256,2658612
2021-01-25,56208,257,2697294
2021-01-26,56799,591,2733729
2021-01-27,57291,492,2774014
2021-01-28,57806,515,2792360
2021-01-29,58319,513,2830478
2021-01-30,58573,254,2809021
2021-01-31,58827,254,2826862
2021-02-01,59081,254,2852729
2021-02-02,59805,724,2881793
2021-02-03,60370,565,2913389
2021-02-04,60802,432,2915644
2021-02-05,61386,584,2941990
2021-02-06,61689,303,2956850
2021-02-07,61992,303,2969780
2021-02-08,62295,303,2989085
2021-02-09,63061,766,3005487
2021-02-10,63704,643,3023601
2021-02-11,64217,513,3041454
2021-02-12,64747,530,3056035
2021-02-13,64981,234,3066108
2021-02-14,65215,234,3074344
2021-02-15,65449,234,3086286
2021-02-16,65979,530,3096343
2021-02-17,66316,337,3107172
2021-02-18,66704,388,3121687
2021-02-19,67101,397,3133122
2021-02-20,67279,178,3140064
2021-02-21,67457,178,3145740
2021-02-22,67636,179,3153971
2021-02-23,68079,443,3161432
2021-02-24,68468,389,3170644
2021-02-25,68813,345,3180212
2021-02-26,69142,329,3188553
2021-02-27,69298,156,3188553
2021-02-28,69454,156,3188553
2021-03-01,69609,155,3204531
2021-03-02,69801,192,3130184
2021-03-03,70247,446,3136321
2021-03-04,70501,254,3142358
2021-03-05,71138,637,3149012
2021-03-06,71237,99,3152994
2021-03-07,71336,99,3156249
2021-03-08,71436,100,3160970
2021-03-09,71727,291,3164983
2021-03-10,71919,192,3172101
2021-03-11,72085,166,3178356
2021-03-12,72258,173,3183704
2021-03-13,72313,55,3187486
2021-03-14,72368,55,3190578
